n,Z(n),Perceived,Distortion,Curvature
2,1.6578683332273354,2.412736837920831,0.41273683792083116,0.18761454001147945
3,2.228325213912176,4.038907760774776,1.0389077607747756,0.2973620105082439
4,2.27834827828676,7.022631330110536,3.022631330110536,0.5628436200344383
5,3.2342932718254187,7.729663916930491,2.729663916930491,0.4356274714620233
6,2.2746049027245285,15.826924472412372,9.826924472412372,0.9699531010394467
7,4.133851531895467,11.85335264750845,4.85335264750845,0.5267006023508001
8,2.5954354385861222,24.658675399325038,16.658675399325038,1.1256872400688767
9,3.688200042977142,21.961932394159458,12.961932394159458,0.8920860315247316
10,2.875139141285363,34.78092540428979,24.78092540428979,1.2464840229470056
11,5.748020881083708,21.05072380620635,10.05072380620635,0.6490396718318043
12,1.5954141826896215,90.2586936749166,78.2586936749166,2.0177732715936085
13,6.492794748969137,26.028852987664852,13.028852987664852,0.6942562955592497
14,3.3549170468625023,58.421712746459114,44.421712746459114,1.428630284724559
15,3.4627782772387734,64.9767273518348,49.976727351834796,1.4659789639405343
16,2.4508706337003194,104.45267754238489,88.45267754238489,1.8761454001147946
17,7.895917733187686,36.60119187732809,19.60119187732809,0.7668674607751973
18,1.7217755843096791,188.1778339480305,170.1778339480305,2.3470156830839013
19,8.563132014096054,42.15747221994779,23.157472219947792,0.7969729664368259
20,1.7562179750717024,227.7621603227634,207.7621603227634,2.4325696544549467
21,4.040616227922753,109.14176826605343,88.14176826605343,1.648125225718088
22,4.127756461345264,117.25497968023558,95.25497968023558,1.6733084236865676
23,9.843469302621417,53.74121498597266,30.74121498597266,0.8486859955990647
24,0.7689197341649436,749.1028964493194,725.1028964493194,3.440822522170729
25,6.766563902773911,92.36593476103656,67.36593476103656,1.3068824143860698
26,4.456460614925611,151.68988540725252,125.68988540725252,1.7637416711414584
27,4.5342731856721965,160.77549149521022,133.77549149521022,1.7841720630494633
28,1.8708922629926608,419.05138821084296,391.05138821084296,2.705789047121277
29,11.656546577903175,72.14829832999152,43.14829832999152,0.9114278697853687
30,0.7548632241092172,1192.2689717227286,1162.2689717227286,3.6824160879269865
31,12.237535913795352,78.52888087680024,47.528880876800244,0.9294792618998022
32,1.9184504494735326,533.7641116980683,501.7641116980683,2.8142181001721918
33,4.971413453641865,219.05239026181596,186.05239026181596,1.8928033646800964
34,5.039951822666299,229.36727188563447,195.36727188563447,1.9089640015733536
35,5.107407382221964,239.8477169187681,204.8477169187681,1.9246561476256467
36,0.45782419776939526,2830.780911787436,2794.780911787436,4.36478895467751
37,13.923091430042431,98.32586440149721,61.32586440149721,0.9773691969037289
38,5.303734244148761,272.26100206530225,234.26100206530225,1.9691750128966108
39,5.367300242671255,283.38269357613063,244.38269357613063,1.9832366121349871
40,0.7371197537449228,2170.610666545335,2130.610666545335,3.9938843659858465
41,15.005509171472807,112.02552214594448,71.02552214594448,1.0051546549340014
42,0.7341521425277396,2402.7717114962284,2360.7717114962284,4.046708611482094
43,15.535907377916846,119.01461273051989,76.01461273051989,1.0180461659339375
44,2.036806985284724,950.5073450685204,906.5073450685204,3.0728062555642897
45,2.0454299508990106,990.0119039080116,945.0119039080116,3.091054477435533
46,5.789467539509756,365.4912970078039,319.4912970078039,2.0726010712210883
47,16.577162072578595,133.2556194075014,86.2556194075014,1.0421216323603917
48,0.25464118513433803,9048.025749583698,9000.025749583698,5.239100852770808
49,10.091752348178524,237.91705515181022,188.91705515181022,1.5801018070524002
50,2.0863467221014877,1198.2667950233397,1148.2667950233397,3.176608448806578
