n,kappa,z_transform
1.450000000000000000e+02,2.694110682494783582e+00,3.770069016963185504e+01
1.460000000000000000e+02,2.697831254755024943e+00,3.789014281905808446e+01
1.470000000000000000e+02,4.052289645629532089e+00,1.938089455302117159e+01
1.480000000000000000e+02,4.057794830780062867e+00,1.945910061103604249e+01
1.490000000000000000e+02,1.354420981231861054e+00,7.569679454274790942e+01
1.500000000000000000e+02,8.137388960662617521e+00,2.564954690039977336e+00
1.510000000000000000e+02,1.358029975585387295e+00,7.657455558322185141e+01
1.520000000000000000e+02,5.439266345885056531e+00,1.001663637221206749e+01
1.530000000000000000e+02,4.084774445375054519e+00,1.984695706095848067e+01
1.540000000000000000e+02,5.453419256776335544e+00,1.007687277592907549e+01
1.550000000000000000e+02,2.730213466723650839e+00,3.957978006971023888e+01
1.560000000000000000e+02,8.201084316542713637e+00,2.583936080532008628e+00
1.570000000000000000e+02,1.368576916361496032e+00,7.919849904331950086e+01
1.580000000000000000e+02,2.740590930827892624e+00,4.013703875042296687e+01
1.590000000000000000e+02,2.744006343626925304e+00,4.032215341337497705e+01
1.600000000000000000e+02,8.242201029116522193e+00,2.596263512133599072e+00
1.610000000000000000e+02,2.750773195899729462e+00,4.069144065580754699e+01
1.620000000000000000e+02,6.885312910222273430e+00,5.180698434624017246e+00
1.630000000000000000e+02,1.378728252325471804e+00,8.180890286313470483e+01
1.640000000000000000e+02,4.141151204870880065e+00,2.068255984089944377e+01
1.650000000000000000e+02,5.528116615208285012e+00,1.040084617997295346e+01
1.660000000000000000e+02,2.767329260957352322e+00,4.160927744375599957e+01
1.670000000000000000e+02,1.385290284413305484e+00,8.354193072703581890e+01
1.680000000000000000e+02,1.109524986314785799e+01,6.546458005238678934e-01
1.690000000000000000e+02,2.082768886677748732e+00,5.965120035142965804e+01
1.700000000000000000e+02,5.560437888994799849e+00,1.054423739864682119e+01
1.710000000000000000e+02,4.175090962359941038e+00,2.120247829011347562e+01
1.720000000000000000e+02,4.179825737870688229e+00,2.127604108395391691e+01
1.730000000000000000e+02,1.394844355084424725e+00,8.613100205555474531e+01
1.740000000000000000e+02,5.585617681220367281e+00,1.065731444331927413e+01
1.750000000000000000e+02,4.193866635824540445e+00,2.149569443004125446e+01
1.760000000000000000e+02,6.997489159388608826e+00,5.321415904174549460e+00
1.770000000000000000e+02,2.802062760531984775e+00,4.360266848680164031e+01
1.780000000000000000e+02,2.805112577798399176e+00,4.378219646697097289e+01
1.790000000000000000e+02,1.404072654582085855e+00,8.870794692104557555e+01
1.800000000000000000e+02,1.265022515251322943e+01,3.223376354904233243e-01
1.810000000000000000e+02,1.407080136262101488e+00,8.956431433487496463e+01
1.820000000000000000e+02,5.634285751686116228e+00,1.087932078069075104e+01
1.830000000000000000e+02,2.820109136048022158e+00,4.467578288136994047e+01
1.840000000000000000e+02,5.646118462534011506e+00,1.093399262905601432e+01
1.850000000000000000e+02,2.825993336731503991e+00,4.503136093519639616e+01
1.860000000000000000e+02,5.657823249678101796e+00,1.098834371706047541e+01
1.870000000000000000e+02,2.831814265214002813e+00,4.538590000568196814e+01
1.880000000000000000e+02,4.252052137150051259e+00,2.243037112363279917e+01
1.890000000000000000e+02,5.675146535502126888e+00,1.106928047989397612e+01
1.900000000000000000e+02,5.680859911641314319e+00,1.109610467269341072e+01
1.910000000000000000e+02,1.421635824041650675e+00,9.382726787192612505e+01
1.920000000000000000e+02,9.961344754039842542e+00,1.318932892665850787e+00
1.930000000000000000e+02,1.424455334603970780e+00,9.467618797184228185e+01
1.940000000000000000e+02,2.851708304028546692e+00,4.661880530514812193e+01
1.950000000000000000e+02,5.708983110118066584e+00,1.122909304291728105e+01
1.960000000000000000e+02,6.428836281260514873e+00,7.875026254416198412e+00
1.970000000000000000e+02,1.430007746050967921e+00,9.637047277785754318e+01
1.980000000000000000e+02,8.588269397158628138e+00,2.702378556659501996e+00
1.990000000000000000e+02,1.432741815423635323e+00,9.721586487368102780e+01
2.000000000000000000e+02,8.604591377750907100e+00,2.707489109860099052e+00
2.010000000000000000e+02,2.870897087289173033e+00,4.783972514908742113e+01
2.020000000000000000e+02,2.873583649294215725e+00,4.801319518196084601e+01
2.030000000000000000e+02,2.876256944272337357e+00,4.818643292767590935e+01
2.040000000000000000e+02,8.636751307838398617e+00,2.717586961151655434e+00
2.050000000000000000e+02,2.881564252792049086e+00,4.853221735360912703e+01
2.060000000000000000e+02,2.884198521410947347e+00,4.870476689166702755e+01
2.070000000000000000e+02,4.330230049846656826e+00,2.375050440456424283e+01
2.080000000000000000e+02,7.223572278025836901e+00,5.616742899718881965e+00
2.090000000000000000e+02,2.892025276537260048e+00,4.922106162450051414e+01
2.100000000000000000e+02,1.157843699466037179e+01,6.426783156627905447e-01
2.110000000000000000e+02,1.448590472672305562e+00,1.022645309841065995e+02
2.120000000000000000e+02,4.349610723984532967e+00,2.408961687696254117e+01
2.130000000000000000e+02,2.902287975042070922e+00,4.990634645755092436e+01
2.140000000000000000e+02,2.904823535335410156e+00,5.007712151248786370e+01
2.150000000000000000e+02,2.907347274791920899e+00,5.024768070409935206e+01
2.160000000000000000e+02,1.163943721247335894e+01,6.411831108183709826e-01
2.170000000000000000e+02,2.912359728501204614e+00,5.058815658386871661e+01
2.180000000000000000e+02,2.914848657634816043e+00,5.075807578200277703e+01
2.190000000000000000e+02,2.917326195748553896e+00,5.092778413716332864e+01
2.200000000000000000e+02,8.759377339900717985e+00,2.756436924709074976e+00
2.210000000000000000e+02,2.922247512668893599e+00,5.126657319633331866e+01
2.220000000000000000e+02,5.849382989693808099e+00,1.191723756677031787e+01
2.230000000000000000e+02,1.463562246399144007e+00,1.072744654910884776e+02
2.240000000000000000e+02,8.788639814449181742e+00,2.765789546905526475e+00
2.250000000000000000e+02,6.596905337732404284e+00,8.311563461410921505e+00
2.260000000000000000e+02,2.934358557681948199e+00,5.210994015223029407e+01
2.270000000000000000e+02,1.468374294320625273e+00,1.089362523504073010e+02
2.280000000000000000e+02,8.817384341808173431e+00,2.775007522624374889e+00
2.290000000000000000e+02,1.470748612760055307e+00,1.097656564294085513e+02
2.300000000000000000e+02,5.887712028290269295e+00,1.211232216026530750e+01
2.310000000000000000e+02,5.892409138763392562e+00,1.213644781566510567e+01
2.320000000000000000e+02,5.897085959279227296e+00,1.216051699933245445e+01
2.330000000000000000e+02,1.475435666093962483e+00,1.114215349242529527e+02
2.340000000000000000e+02,8.859569139523300052e+00,2.788591265608911574e+00
2.350000000000000000e+02,2.955498207644829733e+00,5.361540375730046293e+01
2.360000000000000000e+02,4.436695349342122618e+00,2.567413668082745204e+01
2.370000000000000000e+02,2.960085871821421577e+00,5.394781579863454368e+01
2.380000000000000000e+02,5.924730412549907399e+00,1.230376689841540205e+01
2.390000000000000000e+02,1.482317491871274040e+00,1.138981702730145997e+02
2.400000000000000000e+02,1.483447642016184886e+01,1.441934776054911993e-01
2.410000000000000000e+02,1.484573092978525022e+00,1.147218366991203169e+02
2.420000000000000000e+02,4.457081651025264435e+00,2.605987827265237300e+01
2.430000000000000000e+02,4.460430157623657799e+00,2.612378924517471646e+01
2.440000000000000000e+02,4.463764912616178471e+00,2.618759352365792736e+01
2.450000000000000000e+02,4.467086028490871108e+00,2.625129172239933695e+01
2.460000000000000000e+02,5.960524821814898289e+00,1.249175872689621691e+01
2.470000000000000000e+02,2.982458523992151278e+00,5.559865857585236881e+01
2.480000000000000000e+02,5.969291527736961811e+00,1.253823759038905195e+01
2.490000000000000000e+02,2.986824201950880830e+00,5.592663796170995028e+01
2.500000000000000000e+02,5.977987817590196151e+00,1.258451398272409172e+01
2.510000000000000000e+02,1.495577477055948012e+00,1.188264708372795724e+02
2.520000000000000000e+02,1.346988333051221964e+01,2.995384234272396307e-01
2.530000000000000000e+02,2.995451334861737980e+00,5.658046709377438788e+01
2.540000000000000000e+02,2.997586805611018868e+00,5.674348591946328924e+01
2.550000000000000000e+02,5.999427770981856867e+00,1.269933537816873503e+01
2.560000000000000000e+02,6.754123440413259516e+00,8.741796557072971652e+00
2.570000000000000000e+02,1.501971567301616961e+00,1.212785906557991922e+02
2.580000000000000000e+02,6.012090865814642804e+00,1.276764392213106980e+01
2.590000000000000000e+02,3.008139598509057322e+00,5.755599283680157896e+01
2.600000000000000000e+02,9.030677082265389899e+00,2.844374232286405402e+00
2.610000000000000000e+02,4.518455672405568890e+00,2.725651489145178274e+01
2.620000000000000000e+02,3.014373922302174158e+00,5.804145766934139061e+01
2.630000000000000000e+02,1.508218088365622433e+00,1.237229742865836499e+02
2.640000000000000000e+02,1.207396241899589029e+01,6.306324297664783751e-01
2.650000000000000000e+02,3.020537265534483762e+00,5.852542020176188231e+01
2.660000000000000000e+02,6.045152435196421870e+00,1.294772492420914567e+01
2.670000000000000000e+02,3.024607518791928129e+00,5.884723795760561416e+01
2.680000000000000000e+02,4.539946839477904561e+00,2.768840021739564250e+01
2.690000000000000000e+02,1.514323698371029980e+00,1.261598218321218496e+02
2.700000000000000000e+02,1.212262434398587452e+01,6.294617354337626036e-01
2.710000000000000000e+02,1.516328674697826173e+00,1.269704628635143422e+02
2.720000000000000000e+02,7.586628104105574977e+00,6.125669240660286619e+00
2.730000000000000000e+02,6.073275633673174134e+00,1.310290522275256464e+01
2.740000000000000000e+02,3.038617128485683772e+00,5.996850706332308789e+01
2.750000000000000000e+02,4.560883844267552334e+00,2.811572913792194939e+01
2.760000000000000000e+02,9.127662516781601454e+00,2.876486566791146338e+00
2.770000000000000000e+02,1.522256004255063244e+00,1.293975572089526338e+02
2.780000000000000000e+02,3.046462789478656230e+00,6.060574672055263790e+01
2.790000000000000000e+02,4.572609848748870220e+00,2.835793421324720853e+01
2.800000000000000000e+02,1.220137355077809183e+01,6.275718125460252317e-01
2.810000000000000000e+02,1.526136652325520204e+00,1.310116621351220374e+02
2.820000000000000000e+02,6.108392731520460472e+00,1.329929072925022204e+01
2.830000000000000000e+02,1.528056309779608046e+00,1.318175464741599399e+02
2.840000000000000000e+02,4.587033171107251839e+00,2.865871692647019131e+01
2.850000000000000000e+02,6.119849793628372225e+00,1.336399677874121572e+01
2.860000000000000000e+02,6.123642029610133264e+00,1.338548346211450379e+01
2.870000000000000000e+02,3.063710514569602861e+00,6.203054707536435330e+01
2.880000000000000000e+02,1.379517048966496340e+01,2.909439143157180330e-01
2.890000000000000000e+02,2.300602382325592110e+00,9.148046909189440612e+01
2.900000000000000000e+02,6.138679525035485085e+00,1.347102604952221583e+01
2.910000000000000000e+02,3.071203245022075645e+00,6.265989718357174354e+01
2.920000000000000000e+02,4.609590502166976300e+00,2.913553464933809423e+01
2.930000000000000000e+02,1.537455537748348311e+00,1.358355333254855566e+02
2.940000000000000000e+02,9.230266531327940172e+00,2.910853978911042361e+00
2.950000000000000000e+02,3.078593682439543677e+00,6.328691002553761535e+01
2.960000000000000000e+02,6.160851267752668114e+00,1.359815090251365532e+01
2.970000000000000000e+02,6.164502813426143035e+00,1.361920231859550690e+01
2.980000000000000000e+02,3.084071042486681069e+00,6.375566005424948912e+01
2.990000000000000000e+02,3.085884582316628766e+00,6.391162579969923030e+01
3.000000000000000000e+02,1.389461430109724205e+01,2.883660278116420561e-01
3.010000000000000000e+02,3.089493536569474674e+00,6.422313451358766656e+01
3.020000000000000000e+02,3.091289031193733550e+00,6.437867867247416598e+01
3.030000000000000000e+02,3.093078590287744234e+00,6.453408348549420737e+01
3.040000000000000000e+02,7.737155632413719175e+00,6.349968709148833490e+00
3.050000000000000000e+02,3.096640057955581060e+00,6.484447740599991050e+01
3.060000000000000000e+02,9.295236130818985032e+00,2.932827681186247482e+00
3.070000000000000000e+02,1.550089123945341374e+00,1.414297582372356032e+02
3.080000000000000000e+02,9.305816125233377534e+00,2.936421668076222513e+00
3.090000000000000000e+02,3.103693462404476300e+00,6.546361850771559432e+01
3.100000000000000000e+02,6.210885093493219600e+00,1.388945266097661957e+01
3.110000000000000000e+02,1.553592998978557294e+00,1.430217065347905248e+02
3.120000000000000000e+02,1.243569540881545343e+01,6.219817567865529861e-01
3.130000000000000000e+02,1.555328072653758165e+00,1.438166399062802157e+02
3.140000000000000000e+02,3.112382912745951025e+00,6.623450359696644796e+01
3.150000000000000000e+02,9.342312568975867038e+00,2.948853215717108789e+00
3.160000000000000000e+02,4.673730016276277155e+00,3.053511111015633261e+01
3.170000000000000000e+02,1.558765205399025966e+00,1.454044501918930052e+02
3.180000000000000000e+02,6.238470847299768529e+00,1.405271982829610344e+01
3.190000000000000000e+02,3.120935083234345431e+00,6.700207313111229723e+01
3.200000000000000000e+02,1.092920298071629759e+01,1.354888963795574108e+00
3.210000000000000000e+02,3.124318476328939109e+00,6.730818742957376344e+01
3.220000000000000000e+02,6.252004551845376845e+00,1.413351983876433238e+01
3.230000000000000000e+02,3.127680854424045975e+00,6.761378592172825108e+01
3.240000000000000000e+02,1.173507841541950647e+01,9.168643993060782149e-01
3.250000000000000000e+02,4.696533715449888291e+00,3.104874300423987776e+01
3.260000000000000000e+02,3.132685584673902568e+00,6.807122537789217631e+01
3.270000000000000000e+02,3.134343598628344996e+00,6.822345165042257520e+01
3.280000000000000000e+02,6.271993099873759192e+00,1.425370764444376803e+01
3.290000000000000000e+02,3.137644469422383509e+00,6.852752682820845109e+01
3.300000000000000000e+02,1.255714955050840587e+01,6.191039298508053124e-01
3.310000000000000000e+02,1.570462667408019763e+00,1.509406995807981673e+02
3.320000000000000000e+02,4.713837511470466701e+00,3.144425240985406234e+01
3.330000000000000000e+02,4.716279653760649282e+00,3.150047619755814310e+01
3.340000000000000000e+02,3.145809648849569928e+00,6.928553599091891613e+01
3.350000000000000000e+02,3.147428009196731491e+00,6.943676812058410519e+01
3.360000000000000000e+02,1.574520772904961596e+01,1.280297391983475364e-01
3.370000000000000000e+02,1.575325143679623174e+00,1.533036137275043984e+02
3.380000000000000000e+02,4.728381393389935461e+00,3.178057324262388050e+01
3.390000000000000000e+02,3.153853498675476708e+00,7.004047981942278511e+01
3.400000000000000000e+02,9.466344073561074879e+00,2.991495952448553819e+00
3.410000000000000000e+02,3.157037867463213132e+00,7.034161196550746808e+01
3.420000000000000000e+02,9.475869164788758070e+00,2.994796116626888605e+00
3.430000000000000000e+02,3.160203614104800440e+00,7.064226643724965982e+01
3.440000000000000000e+02,6.323559143873502819e+00,1.456850614498165264e+01
3.450000000000000000e+02,6.326701910277327201e+00,1.458791522859438139e+01
3.460000000000000000e+02,3.164917790191808411e+00,7.109236022863184701e+01
3.470000000000000000e+02,1.583240051674090765e+00,1.572292221265663557e+02
3.480000000000000000e+02,9.504113761899427359e+00,3.004603458833135399e+00
3.490000000000000000e+02,1.584795633924007463e+00,1.580124939036799390e+02
3.500000000000000000e+02,9.513420511717955108e+00,3.007842061697466374e+00
3.510000000000000000e+02,6.345369308335924607e+00,1.470373538455901041e+01
3.520000000000000000e+02,9.522674231335207296e+00,3.011065671923593978e+00
3.530000000000000000e+02,1.587880232167217187e+00,1.595772196570223684e+02
3.540000000000000000e+02,6.354583681109886584e+00,1.476124363266941764e+01
3.550000000000000000e+02,3.178818896949629824e+00,7.243635693807074460e+01
3.560000000000000000e+02,4.770512486732037871e+00,3.277527720675531242e+01
3.570000000000000000e+02,6.363720294536964417e+00,1.481848865408134763e+01
3.580000000000000000e+02,3.183374389187130671e+00,7.288229858803111938e+01
3.590000000000000000e+02,1.592442203636731612e+00,1.619198219805238068e+02
3.600000000000000000e+02,1.911834135015539005e+01,2.539846236432839396e-02
3.610000000000000000e+02,2.390918899310477741e+00,1.092259321126668112e+02
3.620000000000000000e+02,3.189389352547161938e+00,7.347531765127533276e+01
3.630000000000000000e+02,4.786324062515556754e+00,3.315656721375422222e+01
3.640000000000000000e+02,9.577115867598051224e+00,3.030100944060237111e+00
3.650000000000000000e+02,3.193857117656112354e+00,7.391891836767436530e+01
3.660000000000000000e+02,6.390676432141961349e+00,1.498867801848282433e+01
3.670000000000000000e+02,1.598407636642303675e+00,1.650350754400308517e+02
3.680000000000000000e+02,7.995720778224912451e+00,6.754591859317866209e+00
3.690000000000000000e+02,4.799636027851466480e+00,3.348101728829784207e+01
3.700000000000000000e+02,6.402444833508925903e+00,1.506359022754962851e+01
3.710000000000000000e+02,3.202683527312037537e+00,7.480317263231115987e+01
3.720000000000000000e+02,9.612422114586028243e+00,3.042509891489615814e+00
3.730000000000000000e+02,1.602796985260618312e+00,1.673654804832115133e+02
3.740000000000000000e+02,6.414086690473923547e+00,1.513806529473383655e+01
3.750000000000000000e+02,6.416977699577254057e+00,1.515661660447599068e+01
3.760000000000000000e+02,6.419861009579319600e+00,1.517514115326613933e+01
3.770000000000000000e+02,3.211368330689236217e+00,7.568356441212392838e+01
3.780000000000000000e+02,1.285120939109608962e+01,6.121912777685725171e-01
3.790000000000000000e+02,1.607116288084945221e+00,1.696908175777596739e+02
3.800000000000000000e+02,9.646977107530847917e+00,3.054704004182868360e+00
3.810000000000000000e+02,3.217081746604547821e+00,7.626838504929213514e+01
3.820000000000000000e+02,3.218500728106260311e+00,7.641433004005202179e+01
3.830000000000000000e+02,1.609957999924090277e+00,1.712382718446836805e+02
3.840000000000000000e+02,1.288531032470879900e+01,6.113946562398405726e-01
3.850000000000000000e+02,6.445470982578510366e+00,1.534067569677260501e+01
3.860000000000000000e+02,3.224139749230900520e+00,7.699707967604857117e+01
3.870000000000000000e+02,4.838310560851274644e+00,3.444174729037882798e+01
3.880000000000000000e+02,4.840406076077258035e+00,3.449458315067750647e+01
