n,kappa,predicted,actual
50,3.1766084488065776,composite,composite
51,2.128458942566882,composite,composite
52,3.2084561267466256,composite,composite
53,1.074641161305219,prime,prime
54,4.3188022861448445,composite,composite
55,2.169334286587655,composite,composite
56,4.358176889540954,composite,composite
57,2.1886699538901397,composite,composite
58,2.1980848195936957,composite,composite
59,1.1036693697577487,prime,prime
60,6.649311371959355,composite,composite
61,1.1126925575157671,prime,prime
62,2.2341876038225634,composite,composite
63,3.364273870101863,composite,composite
64,3.9399053402410678,composite,composite
65,2.2597675340425454,composite,composite
66,4.53606488940611,composite,composite
67,1.1380865331363426,prime,prime
68,3.4262896223944685,composite,composite
69,2.2920960122146172,composite,composite
70,4.599770455297212,composite,composite
71,1.1537819770127915,prime,prime
72,6.9454058463055555,composite,composite
73,1.161301087366033,prime,prime
74,2.3299674738304166,composite,composite
75,3.5058508602968708,composite,composite
76,3.516606139379354,composite,composite
77,2.351480548365209,composite,composite
78,4.716931384315892,composite,composite
79,1.1826809254024668,prime,prime
80,5.930428157539704,composite,composite
81,2.9736201050824387,composite,composite
82,2.3855383898909617,composite,composite
83,1.1960500904671967,prime,prime
84,7.195750157292016,composite,composite
85,2.404989864474441,composite,composite
86,2.4113214118908335,composite,composite
87,2.4175797605872247,composite,composite
88,4.84753316746497,composite,composite
89,1.21494174888772,prime,prime
90,7.307796194939942,composite,composite
91,2.441913795820099,composite,composite
92,3.6717452268660704,composite,composite
93,2.4536825448160924,composite,composite
94,2.4594723447437423,composite,composite
95,2.465200875797698,composite,composite
96,7.412608263393846,composite,composite
97,1.2382396120027939,prime,prime
98,3.723047234139239,composite,composite
99,3.7312910785448756,composite,composite
100,5.609178103261525,composite,composite
101,1.2491772846356284,prime,prime
102,5.007376045179681,composite,composite
103,1.2544847206939942,prime,prime
104,5.028399662374752,composite,composite
105,5.038760337284268,composite,composite
106,2.5245114026333964,composite,composite
107,1.2647972276562256,prime,prime
108,7.603890669286143,composite,composite
109,1.2698097888059285,prime,prime
110,5.089126733221228,composite,composite
111,2.549462414823945,composite,composite
112,6.385793811983588,composite,composite
113,1.2795647388294946,prime,prime
114,5.1277980678261965,composite,composite
115,2.5686269341221757,composite,composite
116,3.859970849424982,composite,composite
117,3.866940949727212,composite,composite
118,2.5825678195384563,composite,composite
119,2.5871361262519947,composite,composite
120,10.366664816037643,composite,composite
121,1.9471190154954128,composite,composite
122,2.600614195054493,composite,composite
123,2.60503333088449,composite,composite
124,3.9141250257682834,composite,composite
125,2.6137648287721396,composite,composite
126,7.8542349802726035,composite,composite
127,1.3111788627940302,prime,prime
128,5.253207120321424,composite,composite
129,2.6308163528843624,composite,composite
130,5.269993228131009,composite,composite
131,1.3195724211396076,prime,prime
132,7.929784574178042,composite,composite
133,2.647347137575252,composite,composite
134,2.651402146295644,composite,composite
135,5.310854011947019,composite,composite
136,5.318844323238542,composite,composite
137,1.3316940242313624,prime,prime
138,5.3346501844751515,composite,composite
139,1.3356168547278486,prime,prime
140,8.025342923014692,composite,composite
141,2.6789672857372713,composite,composite
142,2.682793034048542,composite,composite
143,2.6865919347821077,composite,composite
144,10.08886635796804,composite,composite
145,2.6941106824947836,composite,composite
146,2.697831254755025,composite,composite
147,4.052289645629532,composite,composite
148,4.057794830780063,composite,composite
149,1.354420981231861,prime,prime
150,8.137388960662618,composite,composite
151,1.3580299755853873,prime,prime
152,5.4392663458850565,composite,composite
153,4.0847744453750545,composite,composite
154,5.4534192567763355,composite,composite
155,2.730213466723651,composite,composite
156,8.201084316542714,composite,composite
157,1.368576916361496,prime,prime
158,2.7405909308278926,composite,composite
159,2.7440063436269253,composite,composite
160,8.242201029116522,composite,composite
161,2.7507731958997295,composite,composite
162,6.885312910222273,composite,composite
163,1.3787282523254718,prime,prime
164,4.14115120487088,composite,composite
165,5.528116615208285,composite,composite
166,2.7673292609573523,composite,composite
167,1.3852902844133055,prime,prime
168,11.095249863147858,composite,composite
169,2.0827688866777487,composite,composite
170,5.5604378889948,composite,composite
171,4.175090962359941,composite,composite
172,4.179825737870688,composite,composite
173,1.3948443550844247,prime,prime
174,5.585617681220367,composite,composite
175,4.1938666358245404,composite,composite
176,6.997489159388609,composite,composite
177,2.8020627605319848,composite,composite
178,2.805112577798399,composite,composite
179,1.4040726545820859,prime,prime
180,12.65022515251323,composite,composite
181,1.4070801362621015,prime,prime
182,5.634285751686116,composite,composite
183,2.820109136048022,composite,composite
184,5.6461184625340115,composite,composite
185,2.825993336731504,composite,composite
186,5.657823249678102,composite,composite
187,2.831814265214003,composite,composite
188,4.252052137150051,composite,composite
189,5.675146535502127,composite,composite
190,5.680859911641314,composite,composite
191,1.4216358240416507,prime,prime
192,9.961344754039843,composite,composite
193,1.4244553346039708,prime,prime
194,2.8517083040285467,composite,composite
195,5.708983110118067,composite,composite
196,6.428836281260515,composite,composite
197,1.430007746050968,prime,prime
198,8.588269397158628,composite,composite
199,1.4327418154236353,prime,prime
200,8.604591377750907,composite,composite
201,2.870897087289173,composite,composite
202,2.8735836492942157,composite,composite
203,2.8762569442723374,composite,composite
204,8.636751307838399,composite,composite
205,2.881564252792049,composite,composite
206,2.8841985214109473,composite,composite
207,4.330230049846657,composite,composite
208,7.223572278025837,composite,composite
209,2.89202527653726,composite,composite
210,11.578436994660372,composite,composite
211,1.4485904726723056,prime,prime
212,4.349610723984533,composite,composite
213,2.902287975042071,composite,composite
214,2.90482353533541,composite,composite
215,2.907347274791921,composite,composite
216,11.639437212473359,composite,composite
217,2.9123597285012046,composite,composite
218,2.914848657634816,composite,composite
219,2.917326195748554,composite,composite
220,8.759377339900718,composite,composite
221,2.9222475126688936,composite,composite
222,5.849382989693808,composite,composite
223,1.463562246399144,prime,prime
224,8.788639814449182,composite,composite
225,6.596905337732404,composite,composite
226,2.934358557681948,composite,composite
227,1.4683742943206253,prime,prime
228,8.817384341808173,composite,composite
229,1.4707486127600553,prime,prime
230,5.887712028290269,composite,composite
231,5.892409138763393,composite,composite
232,5.897085959279227,composite,composite
233,1.4754356660939625,prime,prime
234,8.8595691395233,composite,composite
235,2.9554982076448297,composite,composite
236,4.436695349342123,composite,composite
237,2.9600858718214216,composite,composite
238,5.924730412549907,composite,composite
239,1.482317491871274,prime,prime
240,14.834476420161849,composite,composite
241,1.484573092978525,prime,prime
242,4.457081651025264,composite,composite
243,4.460430157623658,composite,composite
244,4.4637649126161785,composite,composite
245,4.467086028490871,composite,composite
246,5.960524821814898,composite,composite
247,2.9824585239921513,composite,composite
248,5.969291527736962,composite,composite
249,2.986824201950881,composite,composite
250,5.977987817590196,composite,composite
251,1.495577477055948,prime,prime
252,13.46988333051222,composite,composite
253,2.995451334861738,composite,composite
254,2.997586805611019,composite,composite
255,5.999427770981857,composite,composite
256,6.7541234404132595,composite,composite
257,1.501971567301617,composite,prime
258,6.012090865814643,composite,composite
259,3.0081395985090573,composite,composite
260,9.03067708226539,composite,composite
261,4.518455672405569,composite,composite
262,3.014373922302174,composite,composite
263,1.5082180883656224,composite,prime
264,12.07396241899589,composite,composite
265,3.0205372655344838,composite,composite
266,6.045152435196422,composite,composite
267,3.024607518791928,composite,composite
268,4.539946839477905,composite,composite
269,1.51432369837103,composite,prime
270,12.122624343985875,composite,composite
271,1.5163286746978262,composite,prime
272,7.586628104105575,composite,composite
273,6.073275633673174,composite,composite
274,3.0386171284856838,composite,composite
275,4.560883844267552,composite,composite
276,9.127662516781601,composite,composite
277,1.5222560042550632,composite,prime
278,3.0464627894786562,composite,composite
279,4.57260984874887,composite,composite
280,12.201373550778092,composite,composite
281,1.5261366523255202,composite,prime
282,6.1083927315204605,composite,composite
283,1.528056309779608,composite,prime
284,4.587033171107252,composite,composite
285,6.119849793628372,composite,composite
286,6.123642029610133,composite,composite
287,3.063710514569603,composite,composite
288,13.795170489664963,composite,composite
289,2.300602382325592,composite,composite
290,6.138679525035485,composite,composite
291,3.0712032450220756,composite,composite
292,4.609590502166976,composite,composite
293,1.5374555377483483,composite,prime
294,9.23026653132794,composite,composite
295,3.0785936824395437,composite,composite
296,6.160851267752668,composite,composite
297,6.164502813426143,composite,composite
298,3.084071042486681,composite,composite
299,3.0858845823166288,composite,composite
300,13.894614301097242,composite,composite
301,3.0894935365694747,composite,composite
302,3.0912890311937335,composite,composite
303,3.0930785902877442,composite,composite
304,7.737155632413719,composite,composite
305,3.096640057955581,composite,composite
306,9.295236130818985,composite,composite
307,1.5500891239453414,composite,prime
308,9.305816125233378,composite,composite
309,3.1036934624044763,composite,composite
310,6.21088509349322,composite,composite
311,1.5535929989785573,composite,prime
312,12.435695408815453,composite,composite
313,1.5553280726537582,composite,prime
314,3.112382912745951,composite,composite
315,9.342312568975867,composite,composite
316,4.673730016276277,composite,composite
317,1.558765205399026,composite,prime
318,6.2384708472997685,composite,composite
319,3.1209350832343454,composite,composite
320,10.929202980716298,composite,composite
321,3.124318476328939,composite,composite
322,6.252004551845377,composite,composite
323,3.127680854424046,composite,composite
324,11.735078415419506,composite,composite
325,4.696533715449888,composite,composite
326,3.1326855846739026,composite,composite
327,3.134343598628345,composite,composite
328,6.271993099873759,composite,composite
329,3.1376444694223835,composite,composite
330,12.557149550508406,composite,composite
331,1.5704626674080198,composite,prime
332,4.713837511470467,composite,composite
333,4.716279653760649,composite,composite
334,3.14580964884957,composite,composite
335,3.1474280091967315,composite,composite
336,15.745207729049616,composite,composite
337,1.5753251436796232,composite,prime
338,4.7283813933899355,composite,composite
339,3.1538534986754767,composite,composite
340,9.466344073561075,composite,composite
341,3.157037867463213,composite,composite
342,9.475869164788758,composite,composite
343,3.1602036141048004,composite,composite
344,6.323559143873503,composite,composite
345,6.326701910277327,composite,composite
346,3.1649177901918084,composite,composite
347,1.5832400516740908,composite,prime
348,9.504113761899427,composite,composite
349,1.5847956339240075,composite,prime
350,9.513420511717955,composite,composite
351,6.345369308335925,composite,composite
352,9.522674231335207,composite,composite
353,1.5878802321672172,composite,prime
354,6.354583681109887,composite,composite
355,3.17881889694963,composite,composite
356,4.770512486732038,composite,composite
357,6.363720294536964,composite,composite
358,3.1833743891871307,composite,composite
359,1.5924422036367316,composite,prime
360,19.11834135015539,composite,composite
361,2.3909188993104777,composite,composite
362,3.189389352547162,composite,composite
363,4.786324062515557,composite,composite
364,9.577115867598051,composite,composite
365,3.1938571176561124,composite,composite
366,6.390676432141961,composite,composite
367,1.5984076366423037,composite,prime
368,7.9957207782249125,composite,composite
369,4.7996360278514665,composite,composite
370,6.402444833508926,composite,composite
371,3.2026835273120375,composite,composite
372,9.612422114586028,composite,composite
373,1.6027969852606183,composite,prime
374,6.4140866904739235,composite,composite
375,6.416977699577254,composite,composite
376,6.41986100957932,composite,composite
377,3.211368330689236,composite,composite
378,12.85120939109609,composite,composite
379,1.6071162880849452,composite,prime
380,9.646977107530848,composite,composite
381,3.217081746604548,composite,composite
382,3.2185007281062603,composite,composite
383,1.6099579999240903,composite,prime
384,12.885310324708799,composite,composite
385,6.44547098257851,composite,composite
386,3.2241397492309005,composite,composite
387,4.838310560851275,composite,composite
388,4.840406076077258,composite,composite
389,1.6141653991452303,composite,prime
390,12.918882540327969,composite,composite
391,3.2311069127485235,composite,composite
392,9.697468948416232,composite,composite
393,3.233868863295703,composite,composite
394,3.235244572124895,composite,composite
395,3.23661679372898,composite,composite
396,14.570934955841258,composite,composite
397,1.6196754228332872,composite,prime
398,3.2407127108702296,composite,composite
399,6.48414231718348,composite,composite
400,12.162848272274731,composite,composite
401,1.6223889349477316,composite,prime
402,6.492252334624264,composite,composite
403,3.2474711149181035,composite,composite
404,4.873219093975762,composite,composite
405,8.125377567474994,composite,composite
406,6.502972048590592,composite,composite
407,3.252817737471066,composite,composite
408,13.016584730543034,composite,composite
409,1.6277356878947262,composite,prime
410,6.513586665630016,composite,composite
411,3.2581120694792123,composite,composite
412,4.88914140215086,composite,composite
413,3.2607399442170975,composite,composite
414,9.78614733976219,composite,composite
415,3.2633551238584397,composite,composite
416,9.79397397369988,composite,composite
417,3.265957730472185,composite,composite
418,6.534508713120438,composite,composite
419,1.6342739421875394,composite,prime
420,19.619029972128313,composite,composite
421,1.6355628520825212,composite,prime
422,3.27241002536757,composite,composite
423,4.910536960130638,composite,composite
424,6.5499391253586285,composite,composite
425,4.914367211097731,composite,composite
426,6.55503411013006,composite,composite
427,3.2787863197331344,composite,composite
428,4.920078923037553,composite,composite
429,6.562631911597191,composite,composite
430,6.56515270962976,composite,composite
431,1.6419169130361966,composite,prime
432,16.425441915706493,composite,composite
433,1.643170019748815,composite,prime
434,6.575177617048327,composite,composite
435,6.577669407022543,composite,composite
436,4.9351166064866625,composite,composite
437,3.2913179240717807,composite,composite
438,6.585110551543026,composite,composite
439,1.646894902843064,composite,prime
440,13.180086106626126,composite,composite
441,7.416563515731395,composite,composite
442,6.594953185383704,composite,composite
443,1.6493499815022385,composite,prime
444,9.89976172460959,composite,composite
445,3.301138440699487,composite,composite
446,3.3023535728212465,composite,composite
447,3.30356598348021,composite,composite
448,11.566714896937736,composite,composite
449,1.6529913444901487,composite,prime
450,14.882341535568123,composite,composite
451,3.3083886535316114,composite,composite
452,4.96438145655736,composite,composite
453,3.3107839721872625,composite,composite
454,3.3119776686642095,composite,composite
455,6.626337477488292,composite,composite
456,13.257428775836065,composite,composite
457,1.6577715228824894,composite,prime
458,3.3167263055430696,composite,composite
459,6.635813969199715,composite,composite
460,9.957255282504281,composite,composite
461,1.6601303227036748,composite,prime
462,13.285734597618621,composite,composite
463,1.6613020585875617,composite,prime
464,8.309430149156432,composite,composite
465,6.649874975480277,composite,composite
466,3.326100412210884,composite,composite
467,1.6636304219041993,composite,prime
468,14.977884569388266,composite,composite
469,3.3295742709742853,composite,composite
470,6.661454575335577,composite,composite
471,3.33187785373948,composite,composite
472,6.666051959168747,composite,composite
473,3.334171675531483,composite,composite
474,6.670629903688761,composite,composite
475,5.004683728082617,composite,composite
476,10.012782858893736,composite,composite
477,5.008095546965119,composite,composite
478,3.339864063765507,composite,composite
479,1.670497696804356,composite,prime
480,20.052746184331973,composite,composite
481,3.3432509849259566,composite,composite
482,3.344375265980009,composite,composite
483,6.690994433832434,composite,composite
484,7.529887906589554,composite,composite
485,3.347734166929634,composite,composite
486,10.046547555316192,composite,composite
487,1.6749809556807018,composite,prime
488,6.702144710200822,composite,composite
489,3.3521805256674315,composite,composite
490,10.059859297050615,composite,composite
491,1.6771950421898338,composite,prime
492,10.066474472791224,composite,composite
493,3.3565906611211314,composite,composite
494,6.7153752080302205,composite,composite
495,10.07634698586189,composite,composite
496,8.3996871097286,composite,composite
497,3.360965158727183,composite,composite
498,6.72410656394768,composite,composite
499,1.6815696112120766,composite,prime
500,10.092668966454172,composite,composite
501,3.3653045898430984,composite,composite
502,3.366384034134855,composite,composite
503,1.6837306651386739,composite,prime
504,20.211218920820713,composite,composite
505,3.3696095121953036,composite,composite
506,6.741360829769393,composite,composite
507,5.05762380488023,composite,composite
508,5.059223828450967,composite,composite
509,1.6869402351546599,composite,prime
510,13.49977186205555,composite,composite
511,3.376003379433666,composite,composite
512,8.442654300516574,composite,composite
513,6.756235991846229,composite,composite
514,3.379172214626193,composite,composite
515,3.380224384312035,composite,composite
