n,kappa,predicted,actual
516,10.14382353879084,composite,composite
517,3.382322608384392,composite,composite
518,6.766737357064033,composite,composite
519,3.384412731185337,composite,composite
520,13.541819096445689,composite,composite
521,1.693247407516287,composite,prime
522,10.162598584880014,composite,composite
523,1.6942844607637542,composite,prime
524,5.084404503487699,composite,composite
525,10.171905334698543,composite,composite
526,3.391665256754204,composite,composite
527,3.3926934453499986,composite,composite
528,16.968598423859657,composite,composite
529,2.546057986797194,composite,composite
530,6.7915326911148854,composite,composite
531,5.095180172322708,composite,composite
532,10.19341589286351,composite,composite
533,3.3988219009865017,composite,composite
534,6.799673197629774,composite,composite
535,3.4008493982364976,composite,composite
536,6.803720612683123,composite,composite
537,3.4028693301806596,composite,composite
538,3.403876476765019,composite,composite
539,5.107322629600214,composite,composite
540,20.435310996116566,composite,composite
541,1.7034433612588946,composite,prime
542,3.407886429418611,composite,composite
543,3.4088842935406904,composite,composite
544,10.229640964995566,composite,composite
545,3.4108745205359035,composite,composite
546,13.647467587438184,composite,composite
547,1.7064287286530049,composite,prime
548,5.120769312762964,composite,composite
549,5.122249735596765,composite,composite
550,10.24745492860398,composite,composite
551,3.416801672444389,composite,composite
552,13.671133009133973,composite,composite
553,3.418763055506534,composite,composite
554,3.4197410885330854,composite,composite
555,6.841434715495984,composite,composite
556,5.132537804252422,composite,composite
557,1.7113323150550421,composite,prime
558,10.270906937566615,composite,composite
559,3.424604922986374,composite,composite
560,17.12786233858741,composite,composite
561,6.853076572460981,composite,composite
562,3.4275023846739994,composite,composite
563,1.7142323845819083,composite,prime
564,10.288276337349568,composite,composite
565,3.4303844205830356,composite,composite
566,3.4313416995821746,composite,composite
567,8.580743221918876,composite,composite
568,6.86650238818892,composite,composite
569,1.7171017107433848,composite,prime
570,13.74061590734858,composite,composite
571,1.7180514330036307,composite,prime
572,10.311150284484077,composite,composite
573,3.4379956690997893,composite,composite
574,6.877879189185124,composite,composite
575,5.159822815569334,composite,composite
576,18.064318241396325,composite,composite
577,1.7208807678231626,composite,prime
578,5.164048384685621,composite,composite
579,3.4436346902244295,composite,composite
580,10.333706527622104,composite,composite
581,3.4455013856359935,composite,composite
582,6.892864650090068,composite,composite
583,3.447361666274046,composite,composite
584,6.896578829601885,composite,composite
585,10.347646728226563,composite,composite
586,3.4501401555196547,composite,composite
587,1.7255315792637425,composite,prime
588,15.533930657095226,composite,composite
589,3.452904456673256,composite,composite
590,6.907645524925004,composite,composite
591,3.4547395131184238,composite,composite
592,8.639136784748233,composite,composite
593,1.7282841850183803,composite,prime
594,13.829921946944122,composite,composite
595,6.916782138352082,composite,composite
596,5.18895018376446,composite,composite
597,3.4602076518637586,composite,composite
598,6.922227324679174,composite,composite
599,1.7310090795063733,composite,prime
600,20.777526881600743,composite,composite
601,1.731911315563355,composite,prime
602,6.929445233184867,composite,composite
603,5.198431662458491,composite,composite
604,5.199777166825038,composite,composite
605,5.201120445376896,composite,composite
606,6.936615340621406,composite,composite
607,1.7346001181360486,composite,prime
608,10.410273998965339,composite,composite
609,6.94196193057765,composite,composite
610,6.943738275957079,composite,composite
611,3.472755855839283,composite,composite
612,15.631385056331794,composite,composite
613,1.7372624730417412,composite,prime
614,3.4754073279136417,composite,composite
615,6.952576547617073,composite,composite
616,13.908671153736341,composite,composite
617,1.73902293821675,composite,prime
618,6.95784508485487,composite,composite
619,1.7398988955070664,composite,prime
620,10.442014880308705,composite,composite
621,6.963088108495184,composite,composite
622,3.482415077980073,composite,composite
623,3.4832847024770404,composite,composite
624,17.42076466113411,composite,composite
625,4.356274714620232,composite,composite
626,3.4858852253304753,composite,composite
627,6.973498595107496,composite,composite
628,5.231417989153365,composite,composite
629,3.488473315357852,composite,composite
630,20.935999618089483,composite,composite
631,1.745095930040177,composite,prime
632,6.982098181747621,composite,composite
633,3.4919049663610986,composite,composite
634,3.492759490821011,composite,composite
635,3.4936126685121067,composite,composite
636,10.483393511018528,composite,composite
637,5.242972500782549,composite,composite
638,6.992328326514609,composite,composite
639,5.245517994087837,composite,composite
640,13.991434012339035,composite,composite
641,1.74935184423786,composite,prime
642,6.999095112703795,composite,composite
643,1.750195055407254,composite,prime
644,10.503694067836943,composite,composite
645,7.004142591616818,composite,composite
646,7.00581986889401,composite,composite
647,1.75187363794344,composite,prime
648,17.522916620674135,composite,composite
649,3.505418083179106,composite,composite
650,10.518754670968653,composite,composite
651,7.014167499035384,composite,composite
652,5.261871997045292,composite,composite
653,1.7543721532211536,composite,prime
654,7.019145357302607,composite,composite
655,3.510399785203262,composite,composite
656,8.778064074899595,composite,composite
657,5.268075325147562,composite,composite
658,7.025747098890685,composite,composite
659,1.7568478159048893,composite,prime
660,21.087098805900364,composite,composite
661,1.7576680303703383,composite,prime
662,3.5161544148389985,composite,composite
663,7.033943067370762,composite,composite
664,7.03557484200654,composite,composite
665,7.037204160998597,composite,composite
666,10.558246547590176,composite,composite
667,3.520227730768866,composite,composite
668,5.281558093308793,composite,composite
669,3.5218485138147755,composite,composite
670,7.045314178439381,composite,composite
671,3.523464458695143,composite,composite
672,21.145623754997292,composite,composite
673,1.7625377971043181,composite,prime
674,3.5258793673822053,composite,composite
675,10.58004584669267,composite,composite
676,7.936837520136562,composite,composite
677,1.7641417755254334,composite,prime
678,7.0581651573968704,composite,composite
679,3.529880428707188,composite,composite
680,14.12270841817327,composite,composite
681,3.531472609657738,composite,composite
682,7.064533894972343,composite,composite
683,1.7665300607246193,composite,prime
684,15.902334607286452,composite,composite
685,3.5346429913867716,composite,composite
686,7.070865388255518,composite,composite
687,3.536221246536598,composite,composite
688,8.842521629899275,composite,composite
689,3.537794913728937,composite,composite
690,14.154320140646488,composite,composite
691,1.7696820097803492,composite,prime
692,5.310220305322151,composite,composite
693,10.622785771194552,composite,composite
694,3.5417091833711405,composite,composite
695,3.542488652379744,composite,composite
696,14.173068002624406,composite,composite
697,3.5440442314183973,composite,composite
698,3.544820347870974,composite,composite
699,3.545595353204413,composite,composite
700,15.958661627680247,composite,composite
701,1.7735710216039295,composite,prime
702,14.191654936763683,composite,composite
703,3.5486843266811094,composite,composite
704,12.423088383304766,composite,composite
705,7.100444457322635,composite,composite
706,3.5509895443573933,composite,composite
707,3.551755773972857,composite,composite
708,10.657562761733706,composite,composite
709,1.776642493614862,composite,prime
710,7.108095953945178,composite,composite
711,5.332214839256864,composite,composite
712,7.111141475688634,composite,composite
713,3.5563305149977333,composite,composite
714,14.228356909165765,composite,composite
715,7.115693755412308,composite,composite
716,5.337905203815135,composite,composite
717,3.5593590047590355,composite,composite
718,3.560113487296422,composite,composite
719,1.780433459876695,composite,prime
720,26.71214478786643,composite,composite
721,3.5623706460895885,composite,composite
722,5.3446814186553935,composite,composite
723,3.563870206973538,composite,composite
724,5.34692764885518,composite,composite
725,5.348048438128245,composite,composite
726,10.69833536509999,composite,composite
727,1.7834284621244312,composite,prime
728,14.270404143555904,composite,composite
729,6.244602220673121,composite,composite
730,7.138172395358143,composite,composite
731,3.569827253418269,composite,composite
732,10.711701888281818,composite,composite
733,1.785653164236064,composite,prime
734,3.572044353307566,composite,composite
735,10.718344120031203,composite,composite
736,10.72055217393877,composite,composite
737,3.574252409936294,composite,composite
738,10.72495929577181,composite,composite
739,1.7878597299874674,composite,prime
740,10.729354490332264,composite,composite
741,7.154365090017277,composite,composite
742,7.155825214669993,composite,composite
743,1.7893208432060663,composite,prime
744,14.317479139539874,composite,composite
745,3.5800969053877685,composite,composite
746,3.580823050544195,composite,composite
747,5.372322334451053,composite,composite
748,10.746817275779762,composite,composite
749,3.5829956600140513,composite,composite
750,14.334871719246344,composite,composite
751,1.7922196186120143,composite,prime
752,8.962898962031547,composite,composite
753,3.585878975128384,composite,composite
754,7.17319482142439,composite,composite
755,3.5873148940948214,composite,composite
756,21.52818856678189,composite,composite
757,1.7943735071646985,composite,prime
758,3.5894616561928494,composite,composite
759,7.180350711756451,composite,composite
760,14.3635524634663,composite,composite
761,1.79579996931458,composite,prime
762,7.184621653255014,composite,composite
763,3.5930207823134572,composite,composite
764,5.3905947121938285,composite,composite
765,10.783313719522248,composite,composite
766,3.5951450798711395,composite,composite
767,3.5958513306339963,composite,composite
768,16.184504975400714,composite,composite
769,1.798630536982207,composite,prime
770,14.391858285248855,composite,composite
771,3.5986671556197214,composite,composite
772,5.399053243880789,composite,composite
773,1.8000347972861799,composite,prime
774,10.802308361771427,composite,composite
775,5.402202614471546,composite,composite
776,7.204332928148928,composite,composite
777,7.2057272390510905,composite,composite
778,3.6035598783134195,composite,composite
779,3.6042552427416545,composite,composite
780,21.629698290629708,composite,composite
781,3.6056432976891917,composite,composite
782,7.212671985542965,composite,composite
783,7.2140556052404,composite,composite
784,13.528945235606384,composite,composite
785,3.608408775647039,composite,composite
786,7.218195886637324,composite,composite
787,1.8048931173719018,composite,prime
788,5.41571047822178,composite,composite
789,3.6111601977477323,composite,composite
790,7.223691747503878,composite,composite
791,3.6125306823605894,composite,composite
792,21.679287754592764,composite,composite
793,3.6138977061500333,composite,composite
794,3.6145799256895335,composite,composite
795,7.230522573101943,composite,composite
796,5.423912686339783,composite,composite
797,1.8083107204334457,composite,prime
798,14.469200954458795,composite,composite
799,3.6179781862711775,composite,composite
800,16.283948786832994,composite,composite
801,5.428997309712624,composite,composite
802,3.620006949918422,composite,composite
803,3.6206815183956746,composite,composite
804,10.864065742005272,composite,composite
805,7.244056277647552,composite,composite
806,7.245400389882124,composite,composite
807,3.623371417758548,composite,composite
808,7.248083618680266,composite,composite
809,1.8123556858710308,composite,prime
810,18.12690053506478,composite,composite
811,1.813024008596928,composite,prime
812,10.880145312954765,composite,composite
813,3.6273813704121394,composite,composite
814,7.25609363498805,composite,composite
815,3.6287114475749904,composite,composite
816,18.146876313293586,composite,composite
817,3.630038264741527,composite,composite
818,3.630700455812411,composite,composite
819,10.894085513559224,composite,composite
820,10.896067238513899,composite,composite
821,1.8163410913671585,composite,prime
822,7.2666822990043425,composite,composite
823,1.8169996575472134,composite,prime
824,7.2693133629137305,composite,composite
825,10.905939751584569,composite,composite
826,7.271938048480112,composite,composite
827,1.8183120022585555,composite,prime
828,16.3677518697466,composite,composite
829,1.8189657962152568,composite,prime
830,7.277168407762797,composite,composite
831,3.6392360295266144,composite,composite
832,12.739604749396882,composite,composite
833,5.460805996430393,composite,composite
834,7.282373620990288,composite,composite
835,3.6418355117506573,composite,composite
836,10.927450309749535,composite,composite
837,7.286261173698135,composite,composite
838,3.6437769643980378,composite,composite
839,1.8222112855365915,composite,prime
840,29.160539269688087,composite,composite
841,2.7342836093561056,composite,composite
842,3.6463547841880013,composite,composite
843,3.6469973256675283,composite,composite
844,5.471458658085793,composite,composite
845,5.472420187741567,composite,composite
846,10.946761160330151,composite,composite
847,5.474339838043226,composite,composite
848,9.125496606755682,composite,composite
849,3.6508366405757036,composite,composite
850,10.95442166226434,composite,composite
851,3.652110385005587,composite,composite
852,10.958238405263964,composite,composite
853,1.826690569711161,composite,prime
854,7.308030799512187,composite,composite
855,10.96394675349202,composite,composite
856,7.310563390762655,composite,composite
857,1.8279568670686213,composite,prime
858,14.626180143286216,composite,composite
859,1.8285878010756895,composite,prime
860,10.973416304513517,composite,composite
861,7.316869071172181,composite,composite
862,3.659062906095352,composite,composite
863,1.8298452740294664,composite,prime
864,21.961904778985545,composite,composite
865,3.660943653092896,composite,composite
866,3.661569119520589,composite,composite
867,5.4932907961759145,composite,composite
868,10.988453665641366,composite,composite
869,3.6634411944685423,composite,composite
870,14.656255134136922,composite,composite
871,3.6646856573911846,composite,composite
872,7.330613635361467,composite,composite
873,5.4988908990578445,composite,composite
874,7.333094008189479,composite,composite
875,7.3343320669474785,composite,composite
876,11.003353067383415,composite,composite
877,1.8342009863351516,composite,prime
878,3.669018885709087,composite,composite
879,3.6696350965131836,composite,composite
880,18.35125303339745,composite,composite
881,1.8354327088997306,composite,prime
882,16.521657891566107,composite,composite
883,1.836046474619579,composite,prime
884,11.018117018144434,composite,composite
885,7.346635406912062,composite,composite
886,3.673929043027436,composite,composite
887,1.8372698464941744,composite,prime
888,14.700598619571288,composite,composite
889,3.6757589302896605,composite,composite
890,7.352735041444891,composite,composite
891,9.192438569323897,composite,composite
892,5.516373979266309,composite,composite
893,3.6781891975944347,composite,composite
894,7.357590127006336,composite,composite
895,3.679400252088218,composite,composite
896,14.720019059449248,composite,composite
897,7.361217206666232,composite,composite
898,3.6812117690032564,composite,composite
899,3.6818142633703412,composite,composite
900,24.85630859350716,composite,composite
901,3.683017244160832,composite,composite
902,7.367235467109141,composite,composite
903,7.368435115171925,composite,composite
904,7.3696334354557305,composite,composite
